ad_id,ad_name,adset_name,adset_id,campaign_id,campaign_name,objective,marketing_objective,ad_account,post_id,message,permalink_url,link,type
23842635488080745,Boosted_ChatBot_1,FB [Newsfeed]_All Devices_Reactivation_Lapsed,23842635488050745,23842635482390745,Food-Fest:-Chatbot-(London)_UK_07Jul-13Jul_FY17-Q3_Auct._OPT-Engagements_CG-Engagement_Native_Core-Media(PO-JEUK0008540)_Reactivation_Becky,LINK_CLICKS,,1411952492149453,,,,,
6070946793127,Hands DR 1,FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_All_Dinner Occasions_Users who have made 5+ orders in their life time & 1 order in the last 3 months,6070946775727,6070946772927,16May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Dinner-Occasions_Web,CONVERSIONS,,1148017655209606,,,,,
6070946716927,Hands DR 2,FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_iOS_Reactivations_Dormant,6070946674327,6070946671327,19May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Reactivations_Web,CONVERSIONS,,1148017655209606,,,,,
6070947083927,Non-Customer 1,FB [Mobile & Desktop (Newsfeed)]_Retargeting (Engagement)_Non-customers_All_Engagement Retargeting,6070946994527,6070946983527,19May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Acquisition_Smartly_Acquisition_Web,CONVERSIONS,,1148017655209606,,,,,
6070947714327,AA DR (2nd Order) 2 (mob),FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_iOS_Customer Activations_1st to 2nd order standard,6070946408127,6070946405527,16May17-30Jun17_DR_UK_DR-Activity-New-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Customer-Activations_iOS,MOBILE_APP_ENGAGEMENT,,1148017655209606,,,,,
6071279851927,DARK_Video Carousel_Pizza,FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_iOS_Reactivations_Dormant,6070946674327,6070946671327,19May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Reactivations_Web,CONVERSIONS,,1148017655209606,,,,,
6071279728127,DARK_Image Carousel_Chinese 1,FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_All_Dinner Occasions_Placed 2 orders in the last 3 months and 3+ orders in lifetime,6070946777127,6070946772927,16May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Dinner-Occasions_Web,CONVERSIONS,,1148017655209606,,,,,
6071279727127,DARK_Video Carousel_Pizza,FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_All_Dinner Occasions_Placed 2 orders in the last 3 months and 3+ orders in lifetime,6070946777127,6070946772927,16May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Dinner-Occasions_Web,CONVERSIONS,,1148017655209606,,,,,
6071275489727,DARK_Image Carousel_Chinese 2,FB [Mobile & Desktop (Newsfeed)]_Retargeting (Engagement)_Non-customers_All_Engagement Retargeting,6070946994527,6070946983527,19May17-30Jun17_DR_UK_DR-Activity-Audience-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Acquisition_Smartly_Acquisition_Web,CONVERSIONS,,1148017655209606,,,,,
6070947913727,AA DR (2nd Order) 1 (mob),FB [Mobile & Desktop (Newsfeed)]_CRM Upload_Existing_All_Customer Activations_1st to 2nd order standard,6070946459527,6070946456727,16May17-30Jun17_DR_UK_DR-Activity-New-Approach_39_Auct_OPT-Conversions_CG-Orders_BTL-Always-On-DR-Activity-Existing_Smartly_Customer-Activations_Android,MOBILE_APP_ENGAGEMENT,,1148017655209606,,,,,
